cpu_dpu,dpu_cpu,dpu_kernel_time,dpu_instr_cnt,inp_size,n_dpus,dtype,n_tsklts
0.7558,0.4057,362.5274,2319420.0,24,32,INT32,1
0.8158,0.418,355.8537,2319500.0,24,32,INT32,2
0.7417,0.3885,394.2026,2319650.0,24,32,INT32,3
0.7108,0.4109,382.3224,2319810.0,24,32,INT32,4
0.6839,0.4279,422.6047,2320080.0,24,32,INT32,5
0.7025,0.3993,429.7319,2320240.0,24,32,INT32,6
0.6523,0.3824,419.5093,2320640.0,24,32,INT32,7
0.7937,0.4382,412.0477,2320820.0,24,32,INT32,8
0.6668,0.3773,417.1026,2321260.0,24,32,INT32,9
0.7312,0.4174,435.1669,2321650.0,24,32,INT32,10
0.7718,0.4407,436.3029,2322020.0,24,32,INT32,11
0.7055,0.43,432.4747,2322350.0,24,32,INT32,12
0.7705,0.4502,425.1292,2322830.0,24,32,INT32,13
0.7694,0.3946,419.51,2323310.0,24,32,INT32,14
0.82,0.4153,420.4743,2323970.0,24,32,INT32,15
0.7782,0.4042,425.888,2324270.0,24,32,INT32,16
0.8144,0.4517,416.7931,2324940.0,24,32,INT32,17
0.725,0.4351,423.8911,2325520.0,24,32,INT32,18
0.7405,0.4586,423.5049,2326000.0,24,32,INT32,19
0.8422,0.4215,429.8924,2326620.0,24,32,INT32,20
0.6321,0.3543,424.8457,2327280.0,24,32,INT32,21
0.7397,0.4021,425.7208,2327710.0,24,32,INT32,22
0.6413,0.37,428.9401,2328400.0,24,32,INT32,23
0.6299,0.3164,426.1679,2328980.0,24,32,INT32,24
